epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1456.61,0.77794,0.63221,0.96526,0.64298,0.5116,0.54705,0.4205,0.9952,1.0164,1.09402,9.90472e-05,9.90472e-05,9.90472e-05
134,1467.72,0.78458,0.62264,0.96357,0.60287,0.51366,0.54114,0.41605,0.99308,1.00754,1.09157,9.39718e-05,9.39718e-05,9.39718e-05
135,1478.8,0.78242,0.62687,0.96009,0.64769,0.51472,0.54338,0.41431,0.99017,1.00489,1.08648,8.88964e-05,8.88964e-05,8.88964e-05
136,1489.83,0.76561,0.62084,0.96319,0.57245,0.53387,0.5434,0.41694,0.9879,0.99472,1.08949,8.3821e-05,8.3821e-05,8.3821e-05
137,1500.94,0.7763,0.61497,0.9578,0.61738,0.51669,0.54947,0.41848,0.98877,0.99562,1.09054,7.87456e-05,7.87456e-05,7.87456e-05
138,1512.05,0.77296,0.62095,0.96491,0.56029,0.55937,0.55293,0.42512,0.98777,0.98964,1.08993,7.36702e-05,7.36702e-05,7.36702e-05
139,1523.11,0.7754,0.62069,0.95736,0.61823,0.52745,0.5585,0.42713,0.98717,0.99152,1.09082,6.85948e-05,6.85948e-05,6.85948e-05
140,1534.37,0.77479,0.62002,0.95935,0.5927,0.54485,0.55589,0.42764,0.98441,0.99049,1.09049,6.35194e-05,6.35194e-05,6.35194e-05
141,1546.42,0.74148,0.58074,0.93087,0.69628,0.4654,0.54506,0.41383,1.02265,1.02028,1.12265,5.8444e-05,5.8444e-05,5.8444e-05
142,1557.36,0.72158,0.54653,0.92327,0.62812,0.49879,0.5464,0.41745,1.00573,1.00015,1.11154,5.33686e-05,5.33686e-05,5.33686e-05
143,1568.24,0.71165,0.53884,0.92113,0.57539,0.52305,0.54349,0.41627,1.00574,1.00749,1.1094,4.82932e-05,4.82932e-05,4.82932e-05
144,1579.23,0.70562,0.53152,0.92239,0.60657,0.50594,0.54357,0.41588,1.00725,1.00675,1.10795,4.32178e-05,4.32178e-05,4.32178e-05
145,1590.06,0.70695,0.52913,0.92031,0.60209,0.51854,0.54026,0.41553,1.00148,1.00437,1.10307,3.81424e-05,3.81424e-05,3.81424e-05
146,1600.99,0.70734,0.52691,0.92075,0.58767,0.53654,0.54245,0.41668,0.99728,0.99937,1.09962,3.3067e-05,3.3067e-05,3.3067e-05
147,1611.98,0.70128,0.52861,0.91889,0.61386,0.51477,0.5414,0.41791,0.99509,0.99592,1.10039,2.79916e-05,2.79916e-05,2.79916e-05
148,1623,0.70486,0.52243,0.91639,0.58007,0.54702,0.54458,0.42109,0.99409,0.9992,1.09942,2.29162e-05,2.29162e-05,2.29162e-05
149,1633.85,0.69965,0.52004,0.91505,0.6025,0.53052,0.54526,0.42225,0.99587,0.99856,1.10157,1.78408e-05,1.78408e-05,1.78408e-05
150,1644.68,0.68792,0.51574,0.91262,0.58325,0.53664,0.54411,0.42154,0.9954,0.99448,1.1018,1.27654e-05,1.27654e-05,1.27654e-05
