epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,1216.82,0.83244,0.70018,0.98929,0.56611,0.55108,0.55119,0.41961,1.00179,1.01136,1.0897,0.000236083,0.000236083,0.000236083
107,1228.49,0.82409,0.69998,0.98596,0.56285,0.52079,0.54267,0.41136,0.99516,1.02268,1.08343,0.000231008,0.000231008,0.000231008
108,1239.94,0.83062,0.69767,0.98851,0.60104,0.51715,0.54008,0.40825,1.00317,0.99833,1.09527,0.000225932,0.000225932,0.000225932
109,1251.26,0.83456,0.69756,0.98946,0.55682,0.55282,0.547,0.41287,1.002,1.01556,1.08841,0.000220857,0.000220857,0.000220857
110,1262.54,0.83246,0.70123,0.99048,0.60002,0.53024,0.5527,0.4197,0.98009,0.97817,1.07571,0.000215781,0.000215781,0.000215781
111,1273.81,0.81924,0.68381,0.98769,0.57298,0.53812,0.55012,0.42068,0.99025,1.01056,1.0849,0.000210706,0.000210706,0.000210706
112,1285.08,0.82882,0.68471,0.98284,0.56098,0.53212,0.55109,0.41463,0.99577,0.97816,1.08871,0.000205631,0.000205631,0.000205631
113,1296.45,0.81783,0.68049,0.98405,0.66179,0.52249,0.55435,0.4221,0.99202,0.99647,1.08603,0.000200555,0.000200555,0.000200555
114,1307.89,0.83247,0.68611,0.98549,0.57811,0.54412,0.56612,0.42785,0.98865,0.9971,1.09038,0.00019548,0.00019548,0.00019548
115,1319.5,0.8151,0.68683,0.98252,0.64225,0.5102,0.55197,0.41763,0.98439,0.9917,1.08598,0.000190404,0.000190404,0.000190404
116,1330.83,0.81301,0.66894,0.97331,0.57941,0.53507,0.5364,0.40955,0.98867,0.99408,1.08714,0.000185329,0.000185329,0.000185329
117,1342.5,0.82414,0.67253,0.97773,0.61027,0.52924,0.55791,0.42176,0.98254,0.98745,1.0855,0.000180254,0.000180254,0.000180254
118,1354.06,0.81104,0.66804,0.97956,0.61607,0.52462,0.55552,0.42347,0.9808,0.98494,1.08232,0.000175178,0.000175178,0.000175178
119,1365.61,0.8042,0.66343,0.97488,0.61267,0.52076,0.54723,0.42039,0.99077,0.99878,1.08407,0.000170103,0.000170103,0.000170103
120,1377.3,0.81018,0.67259,0.98311,0.59949,0.54057,0.54896,0.41613,0.99145,0.9952,1.08458,0.000165027,0.000165027,0.000165027
121,1388.73,0.81298,0.67142,0.9813,0.6488,0.51693,0.55519,0.42364,0.98451,0.98063,1.08325,0.000159952,0.000159952,0.000159952
122,1400.02,0.80252,0.66387,0.97688,0.62997,0.51097,0.5514,0.4227,0.98809,0.99102,1.08096,0.000154877,0.000154877,0.000154877
123,1411.26,0.81238,0.65977,0.97207,0.6503,0.5181,0.55548,0.42057,0.98993,1.00645,1.08527,0.000149801,0.000149801,0.000149801
124,1422.58,0.79374,0.65686,0.97505,0.5865,0.54331,0.54856,0.41799,0.98898,0.98721,1.08645,0.000144726,0.000144726,0.000144726
125,1434.34,0.80185,0.65255,0.97081,0.64429,0.49022,0.54586,0.41273,0.98934,0.97991,1.0916,0.00013965,0.00013965,0.00013965
126,1445.9,0.80903,0.65432,0.97511,0.61356,0.54068,0.55465,0.41955,0.98544,0.9773,1.08905,0.000134575,0.000134575,0.000134575
127,1457.23,0.79671,0.65716,0.97383,0.6448,0.52653,0.55571,0.41817,0.98788,0.9804,1.08482,0.0001295,0.0001295,0.0001295
128,1468.71,0.79966,0.65385,0.97547,0.58909,0.53149,0.55574,0.42575,0.98606,0.97922,1.08325,0.000124424,0.000124424,0.000124424
129,1480.12,0.7956,0.65055,0.97034,0.59445,0.54362,0.55868,0.42541,0.98638,0.97212,1.08598,0.000119349,0.000119349,0.000119349
130,1491.52,0.80131,0.64811,0.9654,0.57156,0.54861,0.55454,0.42537,0.98384,0.96779,1.09128,0.000114273,0.000114273,0.000114273
131,1503,0.79322,0.64124,0.96742,0.59545,0.53173,0.55522,0.42325,0.98769,0.9774,1.08723,0.000109198,0.000109198,0.000109198
132,1514.43,0.79393,0.63596,0.96702,0.64839,0.48867,0.5581,0.4275,0.98123,0.96581,1.08339,0.000104123,0.000104123,0.000104123
133,1525.9,0.78426,0.63854,0.96776,0.5955,0.55898,0.56033,0.43058,0.97898,0.98064,1.08376,9.90472e-05,9.90472e-05,9.90472e-05
134,1537.3,0.78966,0.63193,0.96463,0.62755,0.52434,0.56089,0.42866,0.97951,0.99079,1.08225,9.39718e-05,9.39718e-05,9.39718e-05
135,1548.77,0.79065,0.63604,0.96173,0.57776,0.56279,0.56299,0.42911,0.98541,0.97802,1.08455,8.88964e-05,8.88964e-05,8.88964e-05
136,1560.2,0.77368,0.62707,0.96303,0.56677,0.56909,0.57096,0.43382,0.97732,0.97272,1.08236,8.3821e-05,8.3821e-05,8.3821e-05
137,1571.63,0.78136,0.62245,0.95721,0.58889,0.56813,0.56928,0.43258,0.97933,0.97859,1.08196,7.87456e-05,7.87456e-05,7.87456e-05
138,1582.96,0.78431,0.6305,0.96812,0.61394,0.55759,0.56962,0.43519,0.97593,0.97838,1.07821,7.36702e-05,7.36702e-05,7.36702e-05
139,1594.35,0.78595,0.62968,0.96108,0.58088,0.55656,0.56496,0.43121,0.98225,0.98024,1.08523,6.85948e-05,6.85948e-05,6.85948e-05
140,1605.8,0.78159,0.62901,0.96208,0.635,0.53323,0.56434,0.43136,0.98023,0.97995,1.08598,6.35194e-05,6.35194e-05,6.35194e-05
141,1618.09,0.74693,0.59039,0.93403,0.55626,0.54206,0.5431,0.41254,1.00975,0.98747,1.11469,5.8444e-05,5.8444e-05,5.8444e-05
142,1629.17,0.72058,0.54598,0.9213,0.52898,0.55358,0.54017,0.41348,0.99658,0.9755,1.10223,5.33686e-05,5.33686e-05,5.33686e-05
143,1640.28,0.71753,0.54604,0.922,0.56391,0.54515,0.54908,0.41983,0.99395,0.99091,1.10143,4.82932e-05,4.82932e-05,4.82932e-05
144,1651.55,0.70951,0.53557,0.92303,0.57026,0.54322,0.54667,0.41963,0.98803,0.97953,1.0953,4.32178e-05,4.32178e-05,4.32178e-05
145,1662.66,0.71186,0.53672,0.91854,0.58264,0.55026,0.54514,0.41797,0.98639,0.98632,1.09374,3.81424e-05,3.81424e-05,3.81424e-05
146,1673.92,0.70846,0.53124,0.9189,0.59014,0.54505,0.54834,0.41784,0.986,0.98269,1.09465,3.3067e-05,3.3067e-05,3.3067e-05
147,1685.01,0.70532,0.53373,0.91764,0.60227,0.54103,0.55508,0.42465,0.98182,0.97314,1.09126,2.79916e-05,2.79916e-05,2.79916e-05
148,1696.06,0.70995,0.53147,0.91593,0.62396,0.5423,0.55242,0.42346,0.98458,0.97256,1.09169,2.29162e-05,2.29162e-05,2.29162e-05
149,1707.26,0.70204,0.52832,0.91322,0.62299,0.53266,0.55155,0.42222,0.98344,0.97376,1.09107,1.78408e-05,1.78408e-05,1.78408e-05
150,1718.42,0.69588,0.52199,0.91235,0.60063,0.53857,0.54909,0.42047,0.98053,0.97402,1.09074,1.27654e-05,1.27654e-05,1.27654e-05
